CustomerID,TotalSales_Sum,Avg_Transaction_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Purchase_Days,Country,Total_Transactions,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Customer_Lifetime_Days,Avg_Days_Between_Orders
12346,77183.6,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1,United Kingdom,1,326,1,77183.6,1,1,4,6,At Risk,0,0.0
12347,4310.0,23.681318681318682,182,2010-12-07 14:57:00,2011-12-07 15:52:00,7,Iceland,7,2,7,4310.0,4,4,4,12,Champians,365,52.142857142857146
12348,1797.24,57.97548387096774,31,2010-12-16 19:09:00,2011-09-25 13:13:00,4,Finland,4,75,4,1797.24,2,3,4,9,Loyal Customers,282,70.5
12349,1757.55,24.076027397260273,73,2011-11-21 09:51:00,2011-11-21 09:51:00,1,Italy,1,19,1,1757.55,3,1,4,8,Potential Loyalists,0,0.0
12350,334.4,19.670588235294115,17,2011-02-02 16:01:00,2011-02-02 16:01:00,1,Norway,1,310,1,334.4,1,1,2,4,Cannot Lose,0,0.0
12352,2506.04,29.482823529411764,85,2011-02-16 12:33:00,2011-11-03 14:37:00,8,Norway,8,36,8,2506.04,3,4,4,11,Champians,260,32.5
12353,89.0,22.25,4,2011-05-19 17:47:00,2011-05-19 17:47:00,1,Bahrain,1,204,1,89.0,1,1,1,3,Cannot Lose,0,0.0
12354,1079.4,18.610344827586207,58,2011-04-21 13:11:00,2011-04-21 13:11:00,1,Spain,1,232,1,1079.4,1,1,3,5,At Risk,0,0.0
12355,459.4,35.33846153846154,13,2011-05-09 13:49:00,2011-05-09 13:49:00,1,Bahrain,1,214,1,459.4,1,1,2,4,Cannot Lose,0,0.0
12356,2811.43,47.65135593220339,59,2011-01-18 09:50:00,2011-11-17 08:40:00,3,Portugal,3,23,3,2811.43,3,3,4,10,Loyal Customers,302,100.66666666666667
12357,6207.67,47.38679389312977,131,2011-11-06 16:07:00,2011-11-06 16:07:00,1,Switzerland,1,33,1,6207.67,3,1,4,8,Potential Loyalists,0,0.0
12358,1168.06,61.47684210526315,19,2011-07-12 10:04:00,2011-12-08 10:26:00,2,Austria,2,2,2,1168.06,4,2,3,9,Loyal Customers,149,74.5
12359,6310.03,25.755224489795918,245,2011-01-12 12:43:00,2011-10-13 12:47:00,4,Cyprus,4,58,4,6310.03,2,3,4,9,Loyal Customers,274,68.5
12360,2662.06,20.63612403100775,129,2011-05-23 09:43:00,2011-10-18 15:22:00,3,Austria,3,52,3,2662.06,2,3,4,9,Loyal Customers,148,49.333333333333336
12361,189.9,18.990000000000002,10,2011-02-25 13:51:00,2011-02-25 13:51:00,1,Belgium,1,287,1,189.9,1,1,1,3,Cannot Lose,0,0.0
12362,5226.23,19.647481203007516,266,2011-02-17 10:30:00,2011-12-06 15:40:00,10,Belgium,10,3,10,5226.23,4,4,4,12,Champians,292,29.2
12363,552.0,24.0,23,2011-04-11 13:29:00,2011-08-22 10:18:00,2,Unspecified,2,110,2,552.0,2,2,2,6,At Risk,132,66.0
12364,1313.1,15.448235294117646,85,2011-08-19 15:24:00,2011-12-02 10:22:00,4,Belgium,4,8,4,1313.1,4,3,3,10,Loyal Customers,104,26.0
