Year_Month,Monthly_Sales,Unique_Customers,Total_Transactions,Total_Quantity,Year,Month,Avg_Order_Value
2010-12-31,570422.73,885,1400,311048,2010,12,407.44480714285714
2011-01-31,568101.31,741,987,348473,2011,1,575.58390070922
2011-02-28,446084.92,758,997,265027,2011,2,447.4272016048144
2011-03-31,594081.76,974,1321,347582,2011,3,449.72124148372444
2011-04-30,468374.331,856,1149,291366,2011,4,407.63649347258485
2011-05-31,677355.15,1056,1555,372864,2011,5,435.59816720257237
2011-06-30,660046.05,991,1393,363014,2011,6,473.8306173725772
2011-07-31,598962.901,949,1331,367360,2011,7,450.0096927122464
2011-08-31,644051.04,935,1280,397373,2011,8,503.16487500000005
2011-09-30,950690.202,1266,1755,543652,2011,9,541.7038188034188
2011-10-31,1035642.45,1364,1929,591543,2011,10,536.8804821150856
2011-11-30,1156205.61,1664,2657,665923,2011,11,435.15453895370723
2011-12-31,517190.44,615,778,286777,2011,12,664.769203084833
