StockCode,Description,TotalSales,Total_Quantity,Unique_Customers,Total_Transactions,Avg_Price
10002,INFLATABLE POLITICAL GLOBE ,699.55,823,40,49,0.85
10080,GROOVY CACTUS INFLATABLE,114.41,291,19,21,0.3931615120274914
10120,DOGGY RUBBER,40.32,192,25,29,0.21
10123C,HEARTS WRAPPING TAPE ,3.25,5,3,3,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,5,5,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,4,4,0.42
10125,MINI FUNKY DESIGN TAPES,929.45,1225,49,61,0.7587346938775511
10133,COLOURING PENCILS BROWN TUBE,1138.99,2373,101,122,0.4799789296249473
10135,COLOURING PENCILS BROWN TUBE,1784.19,1936,92,117,0.9215857438016529
11001,ASSTD DESIGN RACING CAR PEN,1953.0,1252,44,62,1.5599041533546325
15030,FAN BLACK FRAME ,41.47,143,11,12,0.29
15034,PAPER POCKET TRAVELING FAN ,697.0600000000001,6419,70,91,0.10859323882224646
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,194,324,0.7334265862132017
15039,SANDALWOOD FAN,1132.3,1558,58,70,0.7267650834403081
15044A,PINK PAPER PARASOL ,1230.5800000000002,422,53,78,2.916066350710901
15044B,BLUE PAPER PARASOL ,865.6500000000001,307,36,48,2.8197068403908796
15044C,PURPLE PAPER PARASOL,779.45,271,43,60,2.87619926199262
15044D,RED PAPER PARASOL,1732.79,629,53,73,2.75483306836248
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779,142,291,5.47631162288593
15056N,EDWARDIAN PARASOL NATURAL,20672.91,3822,184,378,5.40892464678179
15056P,EDWARDIAN PARASOL PINK,4242.26,767,87,135,5.530977835723599
15058A,BLUE POLKADOT GARDEN PARASOL,1104.6,148,40,51,7.463513513513513
15058B,PINK POLKADOT GARDEN PARASOL,866.25,115,32,41,7.532608695652174
15058C,ICE CREAM DESIGN GARDEN PARASOL,894.35,193,26,30,4.633937823834197
15060B,FAIRY CAKE DESIGN UMBRELLA,1482.87,411,68,95,3.607956204379562
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,54,70,0.1247268326417704
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,3,3,0.11999999999999998
16011,ANIMAL STICKERS,367.29,1749,38,46,0.21000000000000002
